case_number,specimen_id,analytical_stratum,sweep_number,recording_selection,stimulus_label,model_condition,model_family,model_id,model_dt_s,recorded_stimulus_window_spike_count,model_stimulus_window_spike_count,absolute_spike_count_error,absolute_first_spike_latency_error_ms,latency_status,latency_non_evaluable_reason,absolute_steady_state_delta_voltage_error_mV,steady_state_status,steady_state_non_evaluable_reason,recording_baseline_coverage,recording_steady_state_coverage,model_baseline_coverage,model_steady_state_coverage,fitting_exposure_status
49,475585413,evaluation,40,long_square_first_spiking,Long Square,glif_stored_grid,glif,566307065,0.00005,1,0,1,,non_evaluable,no_in_window_spike,2.696126305111124,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
50,475585413,evaluation,40,long_square_first_spiking,Long Square,glif_recording_grid,glif,566307065,0.000005,1,0,1,,non_evaluable,no_in_window_spike,2.696126305108293,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
52,475585413,evaluation,12,short_square_first_spiking,Short Square,glif_stored_grid,glif,566307065,0.00005,0,0,0,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
53,475585413,evaluation,12,short_square_first_spiking,Short Square,glif_recording_grid,glif,566307065,0.000005,0,0,0,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
55,475585413,evaluation,70,short_square_triple_first_spiking,Short Square - Triple,glif_stored_grid,glif,566307065,0.00005,3,1,2,14.111164700702172,calculated,,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
56,475585413,evaluation,70,short_square_triple_first_spiking,Short Square - Triple,glif_recording_grid,glif,566307065,0.000005,3,1,2,14.119178448749548,calculated,,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
58,475585413,evaluation,32,long_square_prethreshold_candidate,Long Square,glif_stored_grid,glif,566307065,0.00005,0,0,0,,non_evaluable,no_in_window_spike,1.198009088506459,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
59,475585413,evaluation,32,long_square_prethreshold_candidate,Long Square,glif_recording_grid,glif,566307065,0.000005,0,0,0,,non_evaluable,no_in_window_spike,1.198009088503635,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
61,464188580,evaluation,39,long_square_first_spiking,Long Square,glif_stored_grid,glif,566295639,0.00005,4,0,4,,non_evaluable,no_in_window_spike,4.556357249582699,calculated,,1.0,0.97602,1.0,1.0,sweep_exposure_during_fitting_unknown
62,464188580,evaluation,39,long_square_first_spiking,Long Square,glif_recording_grid,glif,566295639,0.000005,4,0,4,,non_evaluable,no_in_window_spike,4.55635724958614,calculated,,1.0,0.97602,1.0,1.0,sweep_exposure_during_fitting_unknown
64,464188580,evaluation,19,short_square_first_spiking,Short Square,glif_stored_grid,glif,566295639,0.00005,0,0,0,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
65,464188580,evaluation,19,short_square_first_spiking,Short Square,glif_recording_grid,glif,566295639,0.000005,0,0,0,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
67,464188580,evaluation,82,short_square_triple_first_spiking,Short Square - Triple,glif_stored_grid,glif,566295639,0.00005,3,1,2,6.7168772859056425,calculated,,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
68,464188580,evaluation,82,short_square_triple_first_spiking,Short Square - Triple,glif_recording_grid,glif,566295639,0.000005,3,1,2,6.7244318155821325,calculated,,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
70,464188580,evaluation,47,long_square_prethreshold_candidate,Long Square,glif_stored_grid,glif,566295639,0.00005,0,0,0,,non_evaluable,no_in_window_spike,4.4188530180202665,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
71,464188580,evaluation,47,long_square_prethreshold_candidate,Long Square,glif_recording_grid,glif,566295639,0.000005,0,0,0,,non_evaluable,no_in_window_spike,4.418853018023708,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
